Cage ,85,146,92,98,97,95,187,190,99,148,149,103,102,100,88,143,106,104,109,110,107,108,153,154,113,112,117,156,118,114,123,121,159,124,126,81,161,129,165,130,131,132,167,133,169,193,84,83,134,136,174,176,138,177,179,184,183,180,186,140
4.5,350.867,7047.22,1171.37,248.898,300.118,,629.279,1261.87,196.44,262.884,702.999,705.289,2824.3,341.75,9837.42,910.354,4141.56,2123.79,1959.43,1707.97,11335.2,1833.22,7738.68,739.148,283.584,336.516,2609.44,4612.45,6353.3,804.06,12375.8,742.407,5751.33,491.259,1203.16,5759.45,1118.52,519.14,482.287,685.193,2163.44,30648.4,864.921,6288.39,453.845,6341.99,378.041,1748,1065.62,397.067,1365.39,469.1,251.286,334.058,1974.55,1209.12,1379.21,1153.17,3641.53,19675.8
5,741.102,10572.4,3831.49,1273.35,928.965,,2872.53,1134.09,133.163,498.044,161.851,1007.91,225.049,,6816.59,571.743,7350.88,14780.7,1925.77,2170.24,7104.04,2270.57,265.327,613.278,821.014,937.996,4938.81,9399.38,1178.08,1083.78,15716.8,229.325,7280.17,1541.19,173.459,4989.45,581.378,2356.58,623.753,3913.62,5350.88,50290.9,987.927,807.001,100.061,3287.99,441.706,748.944,8564.5,132.749,2104.26,849.24,254.349,166.56,1581.4,1321.92,856.992,864.908,566.48,5616.19
5.5,1503.66,334.968,3423.48,314.912,309.914,839.382,2688.33,275.192,319.719,812.069,90.8335,299.965,191.291,,515.197,2179.39,1768.3,7850.04,424.874,309.307,6690.51,350.593,324.475,3332.53,1072.01,1399.89,16293.9,731.47,324.679,3547.58,13601.4,663.071,1930.35,1182.48,518.315,350.007,230.446,415.635,1266.24,1157.85,6243.48,35338.4,1164.2,791.845,654.022,553.294,418.41,1038.91,1399.79,210.24,1485.03,1267.09,712.761,477.106,1622.97,1569.11,314.667,589.743,1949.58,33235.4
6,1720.93,3155.14,1803.78,1126.64,731.331,1223.3,2764.82,315.933,335.377,1453.25,344.224,339.984,184.247,3529.84,3138.64,860.459,703.05,10954.4,300.643,1347.52,3127.74,339.144,4711.38,4254.09,1115.07,1753.94,6870.01,192.669,1028.8,3092.29,244.801,3095.8,210.125,844.308,2845.08,380.788,,701.893,194.074,980.936,2918.58,51597,2360.44,1026.91,5112.09,324.139,1832.35,3531.87,323.756,235.319,252.187,862.564,871.984,695.556,1411.22,1124.37,348.31,389.893,1784.87,8398.85
6.5,1475.3,17649.5,246.485,1821.47,2036.66,180.659,358.507,1362.43,211.928,0.785636,543.158,503.306,322.327,1448.04,4226.31,712.503,718.163,9979.29,281.258,3130.47,,655.678,12217.6,5171.71,859.894,471.174,1527.34,9283.3,2861.96,5433.43,8801.1,954.272,589.572,1013.4,2433.65,5744.39,,328.831,188.213,750.169,304.679,21856.3,278.271,7563.4,3946.64,5146.21,7367.01,2806.94,3717.09,1196.52,202.655,266.226,670.966,121.185,249.387,3308.39,1106.07,248.422,3178.33,525.673
7,307.421,8280.62,474.118,2758.21,1101.27,0.684831,252.122,384.168,678.918,,372.567,630.541,1373.75,7.40586,5017.02,518.343,2488.5,12105.6,2170.2,1223.29,2435.18,1473.02,24734.2,1077.33,267.349,451.218,348.093,5446.9,2359.12,665.306,4556.74,1533.18,3625.69,303.048,427.575,1128.95,460.001,499.409,584.858,2647.16,370.705,10997.5,293.087,8133.09,99.0053,4566.68,1176.39,775.599,2675,351.064,182.193,224.23,343.694,104.412,257.611,782.315,920.97,462.444,455.614,62.1659
7.5,597.984,11856.4,4677.04,391.893,2017.99,61.0696,225.138,459.656,489.621,614.68,92.4328,787.088,5219.71,29.2469,12110.6,1262.12,6114.29,51.8464,1163.55,651.278,4784.61,1896.31,25094.4,1538.91,312.455,2049.24,1031.02,11158.5,3953.69,3037.99,1681.23,292.559,4692.85,261.482,348.744,4019.88,409.742,574.977,1111.2,2017.71,2953.44,1089.6,397.03,5830.27,24.8876,5789.37,286.957,714.582,1216.74,371.871,2179.7,383.614,239.212,272.544,2087.42,369.396,631.54,150.454,1172.57,11208.9
8,1424.71,7142.13,1444.29,322.916,231.362,105.354,501.736,1466.21,229.185,1630.51,136.46,478.249,6675.9,4086.52,14043.2,1825.67,2169.53,0.287727,660.401,1173.97,10542.9,344.147,21002.3,777.717,1308.89,1514.4,9819.77,2181.89,2811.73,519.265,13743.8,302.787,5649.88,1526.73,2466.54,606.655,682.022,747.793,7061.71,2185.99,5683.73,42905.9,1556.11,904.006,4977.62,1077.28,370.908,990.44,242.09,122.597,1259.64,1463.7,223.373,1048.13,2335.36,783.879,372.071,314.875,3986.01,15002
8.5,1861.82,320.992,2189.2,2161.45,328.274,1173.84,2903.84,374.74,258.743,1264.16,461.921,252.183,8388.32,8412.62,16656.2,327.453,461.311,71.0152,267.766,858.489,5638.65,309.539,22335.3,737.799,993.614,1089.74,3728.19,3212.87,678.475,1762.8,14202.1,1744.97,498.085,1155.71,3585.63,362.166,185.511,1127,8331.52,303.619,2850.93,21842,853.434,787.394,3830.85,299.724,711.301,3098.79,425.882,306.191,1157.44,1162.59,365.765,186.089,2463.48,773.478,319.732,1086.35,3608.69,18516.5
9,3711.05,6353.87,3982.92,1739.96,3965.21,1040.24,2905,231.968,248.464,336.606,372.136,542.181,425.756,4047.58,3361.95,349.406,504.413,13303.2,673.494,1653.99,2069.18,599.484,11011.1,4879.73,2370.48,3684.24,394.243,258.676,435.87,4943.01,10608.4,1495.57,231.497,906.802,2510.6,1247.42,5.0248,215.236,7131.64,666.534,5532.09,41130.5,1498.73,3665.23,15.3776,1154.33,4646.69,4913.05,6989.88,1918.44,240.279,305.559,226.392,108.696,1101.26,1766.25,314.263,517.797,1598.17,32569.3
